Estuary	Parameter	Value	Metadata
StAndrew-StSimonsSounds	Average Salinity (psu)	18	Based on NOAA estimate of freshwater volume, but scaled to \;local coastal salinity\;, below
StAndrew-StSimonsSounds	Tidal Exchange (days)	57	Exchange time as (Est_V/net fw_V per d)*((coastal_sal - avg_sal)/coastal_sal); a salinity-based estimate of exchange
StAndrew-StSimonsSounds	Tidal Freshwater Flush (d)	2	NOAA-based calculation, using (daily tide + freshwater volume)/system volume
StAndrew-StSimonsSounds	Daily FW/Est Area (m.d-1)	32.045	NOAA estimate of daily flow/estuary area
StAndrew-StSimonsSounds	Daily Freshwater (m3.d-1) (Best)	5640000	NOAA estimate above or (if not available) NCPDI estimate
StAndrew-StSimonsSounds	Flow / Estuary Area (m.d-1) (Best)	32.045	Best estimate/estuary area
StAndrew-StSimonsSounds	Total FW Volume (1.d-1)	0.00857	Best estimate/estuary volume (= hydraulic exchange rate)
StAndrew-StSimonsSounds	Daily Precipitation (m3.d-1)	613000	Direct precip on system, derived from PRISM shapefile
StAndrew-StSimonsSounds	Daily Evaporation (m3.d-1)	416000	Direct evaporation from system, derived fromLOICZ 0.5 degree database, originally from Wilmott
StAndrew-StSimonsSounds	Daily Precip / Est Area (mm.d-1)	3.483	Daily precipitation/estuary area
StAndrew-StSimonsSounds	Daily Evap / Est Area (mm.d-1)	2.364	Daily evaporation/estuary area
StAndrew-StSimonsSounds	Flow (m3.d-1)	3470000	NCPDI_1982-1991
StAndrew-StSimonsSounds	Air Temp Mean (C)	20.5	For estuary, derived from LOICZ 0.5 degree database
StAndrew-StSimonsSounds	Air Temp Std Dev (C)	5.7	For estuary, derived from LOICZ 0.5 degree database
StAndrew-StSimonsSounds	Frost Days (#)	27	Number of frost days per year for estuary, derived from LOICZ 0.5 degree database
StAndrew-StSimonsSounds	Wind Speed (m.sec-1)	6.7	Estuary windspeed derived from LOICZ 0.5 degree database, PROBABLY CRUDE, AND WE NEED WIND DIRECTION
StAndrew-StSimonsSounds	Sea Surface Temp Mean (C)	24	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
StAndrew-StSimonsSounds	Sea Surface Temp Std Dev (C)	3.3	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
StAndrew-StSimonsSounds	Ocean Salinity Mean (psu)	35.4	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
StAndrew-StSimonsSounds	Ocean Salinity Max (psu)	35.9	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
StAndrew-StSimonsSounds	Ocean Salinity Min (psu)	34.9	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
StAndrew-StSimonsSounds	Oceanic DIP (µM)	0.17	0.5 DEGREE database, supplied by J. Guinotte, KGS, originally from WOA, CRUDE ANNUAL ESTIMATE FOR OPEN SHELF
StAndrew-StSimonsSounds	Oceanic NO3 (µM)	0.3	0.5 DEGREE database, supplied by J. Guinotte, KGS, originally from WOA, CRUDE ANNUAL ESTIMATE FOR OPEN SHELF
StAndrew-StSimonsSounds	TSS (tonne.y-1)	8560	NCPDI_1982-1991
StAndrew-StSimonsSounds	TN (kg.y-1)	1136800	NCPDI_1982-1991
StAndrew-StSimonsSounds	TP (kg.y-1)	83390	NCPDI_1982-1991
StAndrew-StSimonsSounds	TSS/Est Area (tonne.km-2.y-1)	48.6	NCPDI TSS/estuary area (see best FW estimate above)
StAndrew-StSimonsSounds	TN/Est Area (kg.km-2.y-1)	6459.1	NCPDI TN/estuary area (see best FW estimate above)
StAndrew-StSimonsSounds	TP/Est Area (kg.km-2.y-1)	473.81	NCPDI TP/estuary area (see best FW estimate above)
StAndrewsBay	Estuary Latitude	30.16163	Centerpoint latitude for estuary (centroid Y)
StAndrewsBay	Estuary Longitude	-85.70077	Centerpoint longitude for estuary (centroid X)
StAndrewsBay	Catchment Latitude	30.25740	Centerpoint latitude for catchment (centroid Y)
StAndrewsBay	Catchment Longitude	-85.48276	Centerpoint longitude for catchment (centroid X)
StAndrewsBay	Estuary Area (km2)	252	Estuary area, calculated from NOAA shapefiles
StAndrewsBay	Tidal Fresh Zone Area (km2)	0	Tidal Fresh area, calculated from NOAA shapefiles
StAndrewsBay	Mixing Zone Area (km2)	135	Mixing Zone area, calculated from NOAA shapefiles
StAndrewsBay	Saltwater Zone Area (km2)	117	Salt Water area, calculated from NOAA shapefiles
StAndrewsBay	Tidal Fresh Blackwater	No	Refers to whether the Tidal Fresh Zone in this estuary is considered to be Blackwater
StAndrewsBay	Mixing Zone Blackwater	No	Refers to whether the Mixing Zone in this estuary is considered to be Blackwater
StAndrewsBay	Seawater Blackwater	No	Refers to whether the Seawater Zone in this estuary is considered to be Blackwater
StAndrewsBay	Estuary Volume (m3)	713160000	Best estimate of volume from digital bathymetric chart if available; otherwise NOAA planimetry
StAndrewsBay	Estuary Depth (m)	2.83	From digital bathymetric chart if available; otherwise NOAA planimetry
StAndrewsBay	Estuary Perimeter (km)	402	Perimeter of estuary, based on shape file; can be used to calculate various aspect ratios
StAndrewsBay	Percent Estuary Open (%)	0.45	Percent of the perimeter that is the \;open\; (or oceanic) boundary; somewhat subjective
StAndrewsBay	Catchment Area (km2)	2697	
StAndrewsBay	Catchment Mean Elev. (m)	20	Calculated from catchment shapefiles + Hydro1K (a global 1-km grid of elevation)
StAndrewsBay	Catchment Max Elev. (m)	94	Calculated from catchment shapefiles + Hydro1K (a global 1-km grid of elevation)
StAndrewsBay	Catchment/Estuary Area Ratio	10.7	Area ratio, based on catchment and area data given above
StAndrewsBay	Total (km2)	2639.19659	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
StAndrewsBay	Population (#)	91594	Based on gridded (1-km) US 1990 census data, corrected for catchments extending outside US (with LANDSCAN)
StAndrewsBay	Pop / Estuary Area (#.km-2)	363.5	Population based on gridded (1-km) US 1990 census data, corrected for catchments extending outside US (with LANDSCAN). Estuary area, calculated from NOAA shapefiles.
StAndrewsBay	Tide Height (m)	0.44	NOAA estimate of tide height, back-calculated from tide volume; in some cases guessed from nearby systems
StAndrewsBay	Tide Volume (m3)	110880000	Tide Height (m) x Estuary Area (km2) x 106
StAndrewsBay	Tides/day (#)	1	NOAA designation
StAndrewsBay	Tide Volume / Day (m3.d-1)	107130435	Calculated from tide V and tides/d
StAndrewsBay	Tide Ratio	0.16	Tide Height divided by Estuary Depth; a cleanup of a NOAA variable
StAndrewsBay	Stratification Ratio	0.0212	Total freshwater flux per day divided by tide volume per day
StAndrewsBay	Percent Freshwater (%)	0	Based on NOAA shape files of the 3 zones according to their designation
StAndrewsBay	Percent Mixed Water (%)	53.5	Based on NOAA shape files of the 3 zones according to their designation
StAndrewsBay	Percent Seawater (%)	46.5	Based on NOAA shape files of the 3 zones according to their designation
StAndrewsBay	Average Salinity (psu)	20	Based on NOAA estimate of freshwater volume, but scaled to \;local coastal salinity\;, below
StAndrewsBay	Tidal Exchange (days)	136	Exchange time as (Est_V/net fw_V per d)*((coastal_sal - avg_sal)/coastal_sal); a salinity-based estimate of exchange
StAndrewsBay	Tidal Freshwater Flush (d)	38	NOAA-based calculation, using (daily tide + freshwater volume)/system volume
StAndrewsBay	Daily FW/Est Area (m.d-1)	6.944	NOAA estimate of daily flow/estuary area
StAndrewsBay	Daily Freshwater (m3.d-1) (Best)	1750000	NOAA estimate above or (if not available) NCPDI estimate
StAndrewsBay	Flow / Estuary Area (m.d-1) (Best)	6.944	Best estimate/estuary area
StAndrewsBay	Total FW Volume (1.d-1)	0.00318	Best estimate/estuary volume (= hydraulic exchange rate)
StAndrewsBay	Daily Precipitation (m3.d-1)	1120000	Direct precip on system, derived from PRISM shapefile
StAndrewsBay	Daily Evaporation (m3.d-1)	599000	Direct evaporation from system, derived fromLOICZ 0.5 degree database, originally from Wilmott
StAndrewsBay	Daily Precip / Est Area (mm.d-1)	4.444	Daily precipitation/estuary area
StAndrewsBay	Daily Evap / Est Area (mm.d-1)	2.377	Daily evaporation/estuary area
StAndrewsBay	Flow (m3.d-1)	716000	NCPDI_1982-1991
StAndrewsBay	Air Temp Mean (C)	20.4	For estuary, derived from LOICZ 0.5 degree database
StAndrewsBay	Air Temp Std Dev (C)	6	For estuary, derived from LOICZ 0.5 degree database
StAndrewsBay	Frost Days (#)	22	Number of frost days per year for estuary, derived from LOICZ 0.5 degree database
StAndrewsBay	Wind Speed (m.sec-1)	6.1	Estuary windspeed derived from LOICZ 0.5 degree database, PROBABLY CRUDE, AND WE NEED WIND DIRECTION
StAndrewsBay	Sea Surface Temp Mean (C)	23.3	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
StAndrewsBay	Sea Surface Temp Std Dev (C)	4.5	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
StAndrewsBay	Ocean Salinity Mean (psu)	35.2	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
StAndrewsBay	Ocean Salinity Max (psu)	36.4	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
StAndrewsBay	Ocean Salinity Min (psu)	32.8	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
StAndrewsBay	Oceanic DIP (µM)	0.16	0.5 DEGREE database, supplied by J. Guinotte, KGS, originally from WOA, CRUDE ANNUAL ESTIMATE FOR OPEN SHELF
StAndrewsBay	Oceanic NO3 (µM)	1.23	0.5 DEGREE database, supplied by J. Guinotte, KGS, originally from WOA, CRUDE ANNUAL ESTIMATE FOR OPEN SHELF
StAndrewsBay	TSS (tonne.y-1)	110000	NCPDI_1982-1991
StAndrewsBay	TN (kg.y-1)	1526000	NCPDI_1982-1991
StAndrewsBay	TP (kg.y-1)	173910	NCPDI_1982-1991
StAndrewsBay	TSS/Est Area (tonne.km-2.y-1)	436.5	NCPDI TSS/estuary area (see best FW estimate above)
StAndrewsBay	TN/Est Area (kg.km-2.y-1)	6055.6	NCPDI TN/estuary area (see best FW estimate above)
StAndrewsBay	TP/Est Area (kg.km-2.y-1)	690.12	NCPDI TP/estuary area (see best FW estimate above)
StCatherines-SapeloSounds	Estuary Latitude	31.59721	Centerpoint latitude for estuary (centroid Y)
StCatherines-SapeloSounds	Estuary Longitude	-81.19100	Centerpoint longitude for estuary (centroid X)
StCatherines-SapeloSounds	Catchment Latitude	31.63892	Centerpoint latitude for catchment (centroid Y)
StCatherines-SapeloSounds	Catchment Longitude	-81.38192	Centerpoint longitude for catchment (centroid X)
StCatherines-SapeloSounds	Estuary Area (km2)	188	Estuary area, calculated from NOAA shapefiles
StCatherines-SapeloSounds	Tidal Fresh Zone Area (km2)	1	Tidal Fresh area, calculated from NOAA shapefiles
StCatherines-SapeloSounds	Mixing Zone Area (km2)	105	Mixing Zone area, calculated from NOAA shapefiles
StCatherines-SapeloSounds	Saltwater Zone Area (km2)	83	Salt Water area, calculated from NOAA shapefiles
StCatherines-SapeloSounds	Tidal Fresh Blackwater	No	Refers to whether the Tidal Fresh Zone in this estuary is considered to be Blackwater
StCatherines-SapeloSounds	Mixing Zone Blackwater	No	Refers to whether the Mixing Zone in this estuary is considered to be Blackwater
StCatherines-SapeloSounds	Seawater Blackwater	No	Refers to whether the Seawater Zone in this estuary is considered to be Blackwater
StCatherines-SapeloSounds	Estuary Volume (m3)	682440000	Best estimate of volume from digital bathymetric chart if available; otherwise NOAA planimetry
StCatherines-SapeloSounds	Estuary Depth (m)	3.63	From digital bathymetric chart if available; otherwise NOAA planimetry
StCatherines-SapeloSounds	Estuary Perimeter (km)	775	Perimeter of estuary, based on shape file; can be used to calculate various aspect ratios
StCatherines-SapeloSounds	Percent Estuary Open (%)	1.16	Percent of the perimeter that is the \;open\; (or oceanic) boundary; somewhat subjective
StCatherines-SapeloSounds	Catchment Area (km2)	2255	
StCatherines-SapeloSounds	Catchment Mean Elev. (m)	5	Calculated from catchment shapefiles + Hydro1K (a global 1-km grid of elevation)
StCatherines-SapeloSounds	Catchment Max Elev. (m)	27	Calculated from catchment shapefiles + Hydro1K (a global 1-km grid of elevation)
StCatherines-SapeloSounds	Catchment/Estuary Area Ratio	12	Area ratio, based on catchment and area data given above
StCatherines-SapeloSounds	Total (km2)	2180.7668	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
StCatherines-SapeloSounds	Population (#)	24051	Based on gridded (1-km) US 1990 census data, corrected for catchments extending outside US (with LANDSCAN)
StCatherines-SapeloSounds	Pop / Estuary Area (#.km-2)	127.9	Population based on gridded (1-km) US 1990 census data, corrected for catchments extending outside US (with LANDSCAN). Estuary area, calculated from NOAA shapefiles.
StCatherines-SapeloSounds	Tide Height (m)	2.22	NOAA estimate of tide height, back-calculated from tide volume; in some cases guessed from nearby systems
StCatherines-SapeloSounds	Tide Volume (m3)	417360000	Tide Height (m) x Estuary Area (km2) x 106
StCatherines-SapeloSounds	Tides/day (#)	2	NOAA designation
StCatherines-SapeloSounds	Tide Volume / Day (m3.d-1)	806492754	Calculated from tide V and tides/d
StCatherines-SapeloSounds	Tide Ratio	0.61	Tide Height divided by Estuary Depth; a cleanup of a NOAA variable
StCatherines-SapeloSounds	Stratification Ratio	0.00037	Total freshwater flux per day divided by tide volume per day
StCatherines-SapeloSounds	Percent Freshwater (%)	0.5	Based on NOAA shape files of the 3 zones according to their designation
StCatherines-SapeloSounds	Percent Mixed Water (%)	55.6	Based on NOAA shape files of the 3 zones according to their designation
StCatherines-SapeloSounds	Percent Seawater (%)	43.9	Based on NOAA shape files of the 3 zones according to their designation
StCatherines-SapeloSounds	Average Salinity (psu)	20	Based on NOAA estimate of freshwater volume, but scaled to \;local coastal salinity\;, below
StCatherines-SapeloSounds	Tidal Exchange (days)	978	Exchange time as (Est_V/net fw_V per d)*((coastal_sal - avg_sal)/coastal_sal); a salinity-based estimate of exchange
StCatherines-SapeloSounds	Tidal Freshwater Flush (d)	1	NOAA-based calculation, using (daily tide + freshwater volume)/system volume
StCatherines-SapeloSounds	Daily FW/Est Area (m.d-1)	0.368	NOAA estimate of daily flow/estuary area
StCatherines-SapeloSounds	Daily Freshwater (m3.d-1) (Best)	69200	NOAA estimate above or (if not available) NCPDI estimate
StCatherines-SapeloSounds	Flow / Estuary Area (m.d-1) (Best)	0.368	Best estimate/estuary area
StCatherines-SapeloSounds	Total FW Volume (1.d-1)	0.00044	Best estimate/estuary volume (= hydraulic exchange rate)
StCatherines-SapeloSounds	Daily Precipitation (m3.d-1)	667000	Direct precip on system, derived from PRISM shapefile
StCatherines-SapeloSounds	Daily Evaporation (m3.d-1)	435000	Direct evaporation from system, derived fromLOICZ 0.5 degree database, originally from Wilmott
StCatherines-SapeloSounds	Daily Precip / Est Area (mm.d-1)	3.548	Daily precipitation/estuary area
StCatherines-SapeloSounds	Daily Evap / Est Area (mm.d-1)	2.314	Daily evaporation/estuary area
StCatherines-SapeloSounds	Flow (m3.d-1)	148000	NCPDI_1982-1991
StCatherines-SapeloSounds	Air Temp Mean (C)	19.9	For estuary, derived from LOICZ 0.5 degree database
StCatherines-SapeloSounds	Air Temp Std Dev (C)	6.1	For estuary, derived from LOICZ 0.5 degree database
StCatherines-SapeloSounds	Frost Days (#)	28	Number of frost days per year for estuary, derived from LOICZ 0.5 degree database
StCatherines-SapeloSounds	Wind Speed (m.sec-1)	6.8	Estuary windspeed derived from LOICZ 0.5 degree database, PROBABLY CRUDE, AND WE NEED WIND DIRECTION
StCatherines-SapeloSounds	Sea Surface Temp Mean (C)	23.8	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
StCatherines-SapeloSounds	Sea Surface Temp Std Dev (C)	3.4	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
StCatherines-SapeloSounds	Ocean Salinity Mean (psu)	35.2	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
StCatherines-SapeloSounds	Ocean Salinity Max (psu)	35.8	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
StCatherines-SapeloSounds	Ocean Salinity Min (psu)	34.5	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
StCatherines-SapeloSounds	Oceanic DIP (µM)	0.16	0.5 DEGREE database, supplied by J. Guinotte, KGS, originally from WOA, CRUDE ANNUAL ESTIMATE FOR OPEN SHELF
StCatherines-SapeloSounds	Oceanic NO3 (µM)	0.29	0.5 DEGREE database, supplied by J. Guinotte, KGS, originally from WOA, CRUDE ANNUAL ESTIMATE FOR OPEN SHELF
StCatherines-SapeloSounds	TSS (tonne.y-1)	4150	NCPDI_1982-1991
StCatherines-SapeloSounds	TN (kg.y-1)	64540	NCPDI_1982-1991
StCatherines-SapeloSounds	TP (kg.y-1)	11129	NCPDI_1982-1991
StCatherines-SapeloSounds	TSS/Est Area (tonne.km-2.y-1)	22.1	NCPDI TSS/estuary area (see best FW estimate above)
StCatherines-SapeloSounds	TN/Est Area (kg.km-2.y-1)	343.3	NCPDI TN/estuary area (see best FW estimate above)
StCatherines-SapeloSounds	TP/Est Area (kg.km-2.y-1)	59.2	NCPDI TP/estuary area (see best FW estimate above)
StHelenSound	Estuary Latitude	32.53613	Centerpoint latitude for estuary (centroid Y)
StHelenSound	Estuary Longitude	-80.39301	Centerpoint longitude for estuary (centroid X)
StHelenSound	Catchment Latitude	33.12602	Centerpoint latitude for catchment (centroid Y)
StHelenSound	Catchment Longitude	-81.04890	Centerpoint longitude for catchment (centroid X)
StHelenSound	Estuary Area (km2)	203	Estuary area, calculated from NOAA shapefiles
StHelenSound	Tidal Fresh Zone Area (km2)	0	Tidal Fresh area, calculated from NOAA shapefiles
StHelenSound	Mixing Zone Area (km2)	111	Mixing Zone area, calculated from NOAA shapefiles
StHelenSound	Saltwater Zone Area (km2)	92	Salt Water area, calculated from NOAA shapefiles
StHelenSound	Tidal Fresh Blackwater	No	Refers to whether the Tidal Fresh Zone in this estuary is considered to be Blackwater
StHelenSound	Mixing Zone Blackwater	Yes	Refers to whether the Mixing Zone in this estuary is considered to be Blackwater
StHelenSound	Seawater Blackwater	No	Refers to whether the Seawater Zone in this estuary is considered to be Blackwater
StHelenSound	Estuary Volume (m3)	720650000	Best estimate of volume from digital bathymetric chart if available; otherwise NOAA planimetry
StHelenSound	Estuary Depth (m)	3.55	From digital bathymetric chart if available; otherwise NOAA planimetry
StHelenSound	Estuary Perimeter (km)	530	Perimeter of estuary, based on shape file; can be used to calculate various aspect ratios
StHelenSound	Percent Estuary Open (%)	2.45	Percent of the perimeter that is the \;open\; (or oceanic) boundary; somewhat subjective
StHelenSound	Catchment Area (km2)	12263	
StHelenSound	Catchment Mean Elev. (m)	57	Calculated from catchment shapefiles + Hydro1K (a global 1-km grid of elevation)
StHelenSound	Catchment Max Elev. (m)	206	Calculated from catchment shapefiles + Hydro1K (a global 1-km grid of elevation)
StHelenSound	Catchment/Estuary Area Ratio	60.4	Area ratio, based on catchment and area data given above
StHelenSound	Total (km2)	12183.309	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
StHelenSound	Population (#)	228005	Based on gridded (1-km) US 1990 census data, corrected for catchments extending outside US (with LANDSCAN)
StHelenSound	Pop / Estuary Area (#.km-2)	1123.2	Population based on gridded (1-km) US 1990 census data, corrected for catchments extending outside US (with LANDSCAN). Estuary area, calculated from NOAA shapefiles.
StHelenSound	Tide Height (m)	1.73	NOAA estimate of tide height, back-calculated from tide volume; in some cases guessed from nearby systems
StHelenSound	Tide Volume (m3)	351190000	Tide Height (m) x Estuary Area (km2) x 106
StHelenSound	Tides/day (#)	2	NOAA designation
StHelenSound	Tide Volume / Day (m3.d-1)	678628019	Calculated from tide V and tides/d
StHelenSound	Tide Ratio	0.49	Tide Height divided by Estuary Depth; a cleanup of a NOAA variable
StHelenSound	Stratification Ratio	0.01126	Total freshwater flux per day divided by tide volume per day
StHelenSound	Percent Freshwater (%)	0	Based on NOAA shape files of the 3 zones according to their designation
StHelenSound	Percent Mixed Water (%)	54.5	Based on NOAA shape files of the 3 zones according to their designation
StHelenSound	Percent Seawater (%)	45.5	Based on NOAA shape files of the 3 zones according to their designation
StHelenSound	Average Salinity (psu)	20	Based on NOAA estimate of freshwater volume, but scaled to \;local coastal salinity\;, below
StHelenSound	Tidal Exchange (days)	41	Exchange time as (Est_V/net fw_V per d)*((coastal_sal - avg_sal)/coastal_sal); a salinity-based estimate of exchange
StHelenSound	Tidal Freshwater Flush (d)	2	NOAA-based calculation, using (daily tide + freshwater volume)/system volume
StHelenSound	Daily FW/Est Area (m.d-1)	36.355	NOAA estimate of daily flow/estuary area
StHelenSound	Daily Freshwater (m3.d-1) (Best)	7380000	NOAA estimate above or (if not available) NCPDI estimate
StHelenSound	Flow / Estuary Area (m.d-1) (Best)	36.355	Best estimate/estuary area
StHelenSound	Total FW Volume (1.d-1)	0.0106	Best estimate/estuary volume (= hydraulic exchange rate)
StHelenSound	Daily Precipitation (m3.d-1)	706000	Direct precip on system, derived from PRISM shapefile
StHelenSound	Daily Evaporation (m3.d-1)	446000	Direct evaporation from system, derived fromLOICZ 0.5 degree database, originally from Wilmott
StHelenSound	Daily Precip / Est Area (mm.d-1)	3.478	Daily precipitation/estuary area
StHelenSound	Daily Evap / Est Area (mm.d-1)	2.197	Daily evaporation/estuary area
StHelenSound	Flow (m3.d-1)	13000000	NCPDI_1982-1991
StHelenSound	Air Temp Mean (C)	18.8	For estuary, derived from LOICZ 0.5 degree database
StHelenSound	Air Temp Std Dev (C)	6.5	For estuary, derived from LOICZ 0.5 degree database
StHelenSound	Frost Days (#)	36	Number of frost days per year for estuary, derived from LOICZ 0.5 degree database
StHelenSound	Wind Speed (m.sec-1)	6.9	Estuary windspeed derived from LOICZ 0.5 degree database, PROBABLY CRUDE, AND WE NEED WIND DIRECTION
StHelenSound	Sea Surface Temp Mean (C)	23.6	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
StHelenSound	Sea Surface Temp Std Dev (C)	3.2	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
StHelenSound	Ocean Salinity Mean (psu)	35.5	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
StHelenSound	Ocean Salinity Max (psu)	36	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
StHelenSound	Ocean Salinity Min (psu)	34.8	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
StHelenSound	Oceanic DIP (µM)	0.16	0.5 DEGREE database, supplied by J. Guinotte, KGS, originally from WOA, CRUDE ANNUAL ESTIMATE FOR OPEN SHELF
StHelenSound	Oceanic NO3 (µM)	0.31	0.5 DEGREE database, supplied by J. Guinotte, KGS, originally from WOA, CRUDE ANNUAL ESTIMATE FOR OPEN SHELF
StHelenSound	TSS (tonne.y-1)	44100	NCPDI_1982-1991
StHelenSound	TN (kg.y-1)	7910000	NCPDI_1982-1991
StHelenSound	TP (kg.y-1)	1959200	NCPDI_1982-1991
StHelenSound	TSS/Est Area (tonne.km-2.y-1)	217.2	NCPDI TSS/estuary area (see best FW estimate above)
StHelenSound	TN/Est Area (kg.km-2.y-1)	38965.5	NCPDI TN/estuary area (see best FW estimate above)
StHelenSound	TP/Est Area (kg.km-2.y-1)	9651.23	NCPDI TP/estuary area (see best FW estimate above)
StJohnsRiver	Estuary Latitude	29.75922	Centerpoint latitude for estuary (centroid Y)
StJohnsRiver	Estuary Longitude	-81.55201	Centerpoint longitude for estuary (centroid X)
StJohnsRiver	Catchment Latitude	28.97399	Centerpoint latitude for catchment (centroid Y)
StJohnsRiver	Catchment Longitude	-81.56318	Centerpoint longitude for catchment (centroid X)
StJohnsRiver	Estuary Area (km2)	684	Estuary area, calculated from NOAA shapefiles
StJohnsRiver	Tidal Fresh Zone Area (km2)	512	Tidal Fresh area, calculated from NOAA shapefiles
StJohnsRiver	Mixing Zone Area (km2)	156	Mixing Zone area, calculated from NOAA shapefiles
StJohnsRiver	Saltwater Zone Area (km2)	17	Salt Water area, calculated from NOAA shapefiles
StJohnsRiver	Tidal Fresh Blackwater	No	Refers to whether the Tidal Fresh Zone in this estuary is considered to be Blackwater
StJohnsRiver	Mixing Zone Blackwater	No	Refers to whether the Mixing Zone in this estuary is considered to be Blackwater
StJohnsRiver	Seawater Blackwater	No	Refers to whether the Seawater Zone in this estuary is considered to be Blackwater
StJohnsRiver	Estuary Volume (m3)	1511640000	Best estimate of volume from digital bathymetric chart if available; otherwise NOAA planimetry
StJohnsRiver	Estuary Depth (m)	2.21	From digital bathymetric chart if available; otherwise NOAA planimetry
StJohnsRiver	Estuary Perimeter (km)	840	Perimeter of estuary, based on shape file; can be used to calculate various aspect ratios
StJohnsRiver	Percent Estuary Open (%)	0.14	Percent of the perimeter that is the \;open\; (or oceanic) boundary; somewhat subjective
StJohnsRiver	Catchment Area (km2)	23214	
StJohnsRiver	Catchment Mean Elev. (m)	18	Calculated from catchment shapefiles + Hydro1K (a global 1-km grid of elevation)
StJohnsRiver	Catchment Max Elev. (m)	72	Calculated from catchment shapefiles + Hydro1K (a global 1-km grid of elevation)
StJohnsRiver	Catchment/Estuary Area Ratio	33.9	Area ratio, based on catchment and area data given above
StJohnsRiver	Total (km2)	21973.46	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
StJohnsRiver	Population (#)	2268634	Based on gridded (1-km) US 1990 census data, corrected for catchments extending outside US (with LANDSCAN)
StJohnsRiver	Pop / Estuary Area (#.km-2)	3316.7	Population based on gridded (1-km) US 1990 census data, corrected for catchments extending outside US (with LANDSCAN). Estuary area, calculated from NOAA shapefiles.
StJohnsRiver	Tide Height (m)	0.66	NOAA estimate of tide height, back-calculated from tide volume; in some cases guessed from nearby systems
StJohnsRiver	Tide Volume (m3)	451440000	Tide Height (m) x Estuary Area (km2) x 106
StJohnsRiver	Tides/day (#)	2	NOAA designation
StJohnsRiver	Tide Volume / Day (m3.d-1)	872347826	Calculated from tide V and tides/d
StJohnsRiver	Tide Ratio	0.3	Tide Height divided by Estuary Depth; a cleanup of a NOAA variable
StJohnsRiver	Stratification Ratio	0.01585	Total freshwater flux per day divided by tide volume per day
StJohnsRiver	Percent Freshwater (%)	74.8	Based on NOAA shape files of the 3 zones according to their designation
StJohnsRiver	Percent Mixed Water (%)	22.8	Based on NOAA shape files of the 3 zones according to their designation
StJohnsRiver	Percent Seawater (%)	2.5	Based on NOAA shape files of the 3 zones according to their designation
StJohnsRiver	Average Salinity (psu)	4	Based on NOAA estimate of freshwater volume, but scaled to \;local coastal salinity\;, below
StJohnsRiver	Tidal Exchange (days)	97	Exchange time as (Est_V/net fw_V per d)*((coastal_sal - avg_sal)/coastal_sal); a salinity-based estimate of exchange
StJohnsRiver	Tidal Freshwater Flush (d)	6	NOAA-based calculation, using (daily tide + freshwater volume)/system volume
StJohnsRiver	Daily FW/Est Area (m.d-1)	19.152	NOAA estimate of daily flow/estuary area
StJohnsRiver	Daily Freshwater (m3.d-1) (Best)	13100000	NOAA estimate above or (if not available) NCPDI estimate
